category,sub-category,sub-sub-category,brand_slug,brand_name,brand_id
Fruits & Vegetables,Fresh Vegetables,"Potato, Onion & Tomato",fresho,Fresho,1847
Fruits & Vegetables,Fresh Vegetables,Cucumber & Capsicum,fresho,Fresho,1847
Fruits & Vegetables,Fresh Vegetables,Leafy Vegetables,fresho,Fresho,1847
Fruits & Vegetables,Fresh Vegetables,Root Vegetables,fresho,Fresho,1847
Fruits & Vegetables,Fresh Vegetables,"Beans, Brinjals & Okra",fresho,Fresho,1847
Fruits & Vegetables,Fresh Vegetables,Cabbage & Cauliflower,fresho,Fresho,1847
Fruits & Vegetables,Fresh Vegetables,"Gourd, Pumpkin, Drumstick",fresho,Fresho,1847
Fruits & Vegetables,Fresh Vegetables,Specialty,fresho,Fresho,1847
Fruits & Vegetables,Herbs & Seasonings,"Lemon, Ginger & Garlic",fresho-premium,Fresho Premium,21466
Fruits & Vegetables,Herbs & Seasonings,Indian & Exotic Herbs,fresho-premium,Fresho Premium,21466
Fruits & Vegetables,Fresh Fruits,"Banana, Sapota & Papaya",bb-combo,bb Combo,19705
Fruits & Vegetables,Fresh Fruits,"Kiwi, Melon, Citrus Fruit",bb-combo,bb Combo,19705
Fruits & Vegetables,Fresh Fruits,Apples & Pomegranate,bb-combo,bb Combo,19705
Fruits & Vegetables,Fresh Fruits,Seasonal Fruits,bb-combo,bb Combo,19705
Fruits & Vegetables,Fresh Fruits,Mangoes,bb-combo,bb Combo,19705
Fruits & Vegetables,Fresh Fruits,Fruit Baskets,bb-combo,bb Combo,19705
Fruits & Vegetables,Organic Fruits & Vegetables,Organic Vegetables,usa,USA,14835
Fruits & Vegetables,Organic Fruits & Vegetables,Organic Fruits,usa,USA,14835
Fruits & Vegetables,Cuts & Sprouts,"Cut Fruit, Tender Coconut",hoovu-fresh,Hoovu Fresh,25409
Fruits & Vegetables,Cuts & Sprouts,Cut & Peeled Veggies,hoovu-fresh,Hoovu Fresh,25409
Fruits & Vegetables,Cuts & Sprouts,Fresh Salads & Sprouts,hoovu-fresh,Hoovu Fresh,25409
Fruits & Vegetables,Cuts & Sprouts,Recipe Packs,hoovu-fresh,Hoovu Fresh,25409
Fruits & Vegetables,Exotic Fruits & Veggies,Exotic Vegetables,organic,Organic,1500
Fruits & Vegetables,Exotic Fruits & Veggies,Exotic Fruits,organic,Organic,1500
Fruits & Vegetables,"Flower Bouquets, Bunches",Marigold,fresho,Fresho,1847
Fruits & Vegetables,"Flower Bouquets, Bunches",Other Flowers,fresho,Fresho,1847
Fruits & Vegetables,"Flower Bouquets, Bunches",Roses,fresho,Fresho,1847
"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Atta Whole Wheat,bb-royal,BB Royal,1844
"Foodgrains, Oil & Masala","Atta, Flours & Sooji","Sooji, Maida & Besan",bb-royal,BB Royal,1844
"Foodgrains, Oil & Masala","Atta, Flours & Sooji",Rice & Other Flours,bb-royal,BB Royal,1844
"Foodgrains, Oil & Masala",Rice & Rice Products,Raw Rice,bb-popular,BB Popular,1845
"Foodgrains, Oil & Masala",Rice & Rice Products,"Poha, Sabudana & Murmura",bb-popular,BB Popular,1845
"Foodgrains, Oil & Masala",Rice & Rice Products,Basmati Rice,bb-popular,BB Popular,1845
"Foodgrains, Oil & Masala",Rice & Rice Products,Boiled & Steam Rice,bb-popular,BB Popular,1845
"Foodgrains, Oil & Masala",Dals & Pulses,"Toor, Channa & Moong Dal",aashirvaad,Aashirvaad,483
"Foodgrains, Oil & Masala",Dals & Pulses,Cereals & Millets,aashirvaad,Aashirvaad,483
"Foodgrains, Oil & Masala",Dals & Pulses,Urad & Other Dals,aashirvaad,Aashirvaad,483
"Foodgrains, Oil & Masala",Organic Staples,Organic Dry Fruits,tata-sampann,Tata Sampann,14727
"Foodgrains, Oil & Masala",Organic Staples,Organic Dals & Pulses,tata-sampann,Tata Sampann,14727
"Foodgrains, Oil & Masala",Organic Staples,Organic Millet & Flours,tata-sampann,Tata Sampann,14727
"Foodgrains, Oil & Masala",Organic Staples,"Organic Sugar, Jaggery",tata-sampann,Tata Sampann,14727
"Foodgrains, Oil & Masala",Organic Staples,Organic Masalas & Spices,tata-sampann,Tata Sampann,14727
"Foodgrains, Oil & Masala",Organic Staples,"Organic Rice, Other Rice",tata-sampann,Tata Sampann,14727
"Foodgrains, Oil & Masala",Organic Staples,Organic Flours,tata-sampann,Tata Sampann,14727
"Foodgrains, Oil & Masala",Organic Staples,"Organic Edible Oil, Ghee",tata-sampann,Tata Sampann,14727
"Foodgrains, Oil & Masala",Edible Oils & Ghee,Blended Cooking Oils,bb-combo,bb Combo,19705
"Foodgrains, Oil & Masala",Edible Oils & Ghee,"Sunflower, Rice Bran Oil",bb-combo,bb Combo,19705
"Foodgrains, Oil & Masala",Edible Oils & Ghee,Soya & Mustard Oils,bb-combo,bb Combo,19705
"Foodgrains, Oil & Masala",Edible Oils & Ghee,Ghee & Vanaspati,bb-combo,bb Combo,19705
"Foodgrains, Oil & Masala",Edible Oils & Ghee,Gingelly Oil,bb-combo,bb Combo,19705
"Foodgrains, Oil & Masala",Edible Oils & Ghee,Groundnut Oil,bb-combo,bb Combo,19705
"Foodgrains, Oil & Masala",Edible Oils & Ghee,Cooking Coconut Oil,bb-combo,bb Combo,19705
"Foodgrains, Oil & Masala",Edible Oils & Ghee,Olive & Canola Oils,bb-combo,bb Combo,19705
"Foodgrains, Oil & Masala",Edible Oils & Ghee,Other Edible Oils,bb-combo,bb Combo,19705
