Unnamed: 0.1,Unnamed: 0,name,latitude,longitude
0,0,24 Chicken - Espana [Available for LONG-DISTANCE DELIVERY],14.6064864,120.9896774
1,1,McDonald's - Good Earth,14.59968074,120.9813703
2,2,Jollibee - Raon,14.600723,120.984396
3,3,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.5972994,120.9780227
4,4,KFC - Good Earth,14.599339283333334,120.98126608333332
5,5,BonChon - Legarda [Available for LONG-DISTANCE DELIVERY],14.5997547,120.9904516
6,6,Andok's Dine-In - Quiapo,14.6017109,120.9850132
7,7,Lola Nena's - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
8,8,Chowking - Paterno,14.5994997,120.98417191111112
9,9,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622555,120.9900343411054
10,10,Farinas Ilocos Empanada - Quiapo [Available for LONG-DISTANCE DELIVERY],14.600459,120.983485
11,11,Greenwich - Isetann Recto,14.602752,120.984799
12,12,Andok's - Carriedo,14.5990063,120.9814594
13,13,Starbucks - I Tower P Noval,14.607214122737872,120.98886850526878
14,14,S&R New York Style Pizza - SM Manila,14.5901269,120.98368076666668
15,15,Hot Star Large Fried Chicken - Laperal [Available for LONG-DISTANCE DELIVERY],14.6009775,120.9899533
16,16,CoCo Fresh Tea & Juice - Youniversity,14.6009454,120.9901214
17,17,Boodle Inasal - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.607157,120.987687
18,18,Paotsin - Good Earth Plaza Mall [Available for LONG-DISTANCE DELIVERY],14.59980821,120.9811871
19,19,Red Ribbon - Binondo,14.5982956,120.9757438
20,20,Sukiya - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590312,120.983149
21,21,Mang Inasal - Quezon Boulevard,14.6007871,120.9844008
22,22,Fruitas - Youniversity Suites Recto [Available for LONG-DISTANCE DELIVERY],14.60102784,120.9899367
23,23,Ate Rica's Bacsilog - Shopper's Mart [Available for LONG-DISTANCE DELIVERY],14.600689,120.975685
24,24,Turks - Recto,14.601017,120.989913
25,25,Potato Corner - Isetann Recto,14.602955,120.984146
26,26,Kyu Kyu Ramen 99 - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5902886,120.9833111
27,27,Tasty Dumplings - Condesa [Available for LONG-DISTANCE DELIVERY],14.600781,120.974841
28,28,Chuan Kee Turo Turo - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.60044895128205,120.9755047
29,29,Ling Nam - Alonzo [Available for LONG DISTANCE DELIVERY],14.6022232,120.9785885
30,30,Minute Burger - Gastambide [Available for LONG-DISTANCE DELIVERY],14.6025839,120.9904756
31,31,David's Tea House - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.60081561,120.9792872
32,32,24 Chicken - Espana [Available for LONG-DISTANCE DELIVERY],14.6064864,120.9896774
33,33,McDonald's - Good Earth,14.59968074,120.9813703
34,34,Jollibee - Raon,14.600723,120.984396
35,35,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.5972994,120.9780227
36,36,KFC - Good Earth,14.599339283333334,120.98126608333332
37,37,BonChon - Legarda [Available for LONG-DISTANCE DELIVERY],14.5997547,120.9904516
38,38,Andok's Dine-In - Quiapo,14.6017109,120.9850132
39,39,Lola Nena's - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
40,40,Chowking - Paterno,14.5994997,120.98417191111112
41,41,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622555,120.9900343411054
